movie_title,sadness,joy,love,anger,fear,surprise
Attack_on_Titan__THE_LAST_ATTACK_reviews,0.066256971,0.734106251,0.005929435,0.156848814,0.032631834,0.004226721
Attraction_reviews,0.203028358,0.754713011,0.006939053,0.026181688,0.00490177,0.004236158
Automata_reviews,0.275416025,0.124073215,0.013430423,0.356999874,0.202571403,0.027509023
Away_reviews,0.004983092,0.969618395,0.018514143,0.003582365,0.001747302,0.00155467
A_Good_Day_to_Die_Hard_reviews,0.200289136,0.472559634,0.009190164,0.209708876,0.065877782,0.042374417
A_Greyhound_of_a_Girl_reviews,0.089559599,0.456847482,0.119905109,0.228516867,0.101974616,0.003196294
A_Separation_reviews,0.002090037,0.953554034,0.002453349,0.009665462,0.019878294,0.012358836
A_Serbian_Film_reviews,0.395761479,0.221928367,0.00495498,0.327561227,0.044840932,0.004953025
A_Simple_Favor_reviews,0.094619317,0.515486503,0.044045446,0.202379803,0.120713671,0.02275527
Bait_reviews,0.089097821,0.545553922,0.010513813,0.232558292,0.085518973,0.036757186
Baksa_Badal_reviews,0.211196303,0.753122151,0.015687089,0.01409799,0.002225822,0.003670655
Battleship_Potemkin_reviews,0.090313891,0.667614151,0.004754721,0.225568373,0.010128522,0.001620338
Below_Her_Mouth_reviews,0.279784965,0.360733234,0.156290907,0.162087046,0.03612071,0.004983127
Benedetta_reviews,0.026134347,0.531850371,0.016264063,0.217747189,0.196663456,0.011340557
Better_Man_reviews,0.120211893,0.52263529,0.025818938,0.211254035,0.117146948,0.002932916
Beyond_Skyline_reviews,0.06510552,0.729500162,0.004774442,0.099724438,0.096599265,0.004296159
Big_Bad_Wolves_reviews,0.070972248,0.61254697,0.016648569,0.157997093,0.135566634,0.00626849
Big_Game_reviews,0.083871749,0.6510168,0.04589069,0.11379092,0.09634519,0.009084668
Blackbird_Blackbird_Blackberry_reviews,0.050144828,0.608658352,0.008724832,0.224690879,0.033462762,0.07431834
Black_Book_reviews,0.092473234,0.573668273,0.101035013,0.129793067,0.085718879,0.01731155
Blood_Tide_reviews,0.004743408,0.700273991,0.077925447,0.211401524,0.003313827,0.002341821
Bridget_Jones__Mad_About_the_Boy_reviews,0.073925775,0.594574675,0.070909142,0.160488024,0.059023675,0.041078706
Brimstone_reviews,0.084626316,0.573655517,0.024289689,0.231666828,0.069559153,0.016202486
